Seismic Zone,PGA (m/s²),PGV (m/s),PGD (m),Spectral Acceleration (g),Soil Type,Site Amplification Factor,Historical Earthquake Magnitude (Mw),Fault Distance (km),Seismic Wave Frequency (Hz)
Very High,0.4452450889692344,0.40930287949183575,0.3714038235119866,0.38364258294948195,Rock,2.9153961903384413,8.701555077598208,36.24087069239142,1.9430338538860956
Very High,0.7777078975942822,1.2309043848410621,0.08473948322736828,1.6703433729905195,Soft Soil,2.5759756285177513,6.940739520856974,29.126310773515865,1.3440453412378692
Low,1.1464221692353715,0.38589731491139523,0.06106142452878304,1.4965011297195245,Clay,1.8111920595842126,6.873554086747795,18.43283950644154,1.469947769164992
High,0.7633337597571251,1.9393451247563935,0.03473476998671919,0.7019097560036599,Sand,1.2919256063120765,5.135067532346948,74.58995844300001,7.506801810384092
Low,0.18098222922602486,0.9487576017911886,0.3622905651976877,1.2148953044565678,Soft Soil,2.853601231549675,4.503552799919484,25.95491879816698,4.749577143821073
High,1.4409057213834855,1.052884124665316,0.46447517238325475,1.0133686452356647,Rock,1.5581125105993379,8.145630408354576,45.962579546608616,7.8510483101246855
High,1.4198140467317573,0.5686513700302723,0.21583737463560546,1.2511112479203588,Rock,1.1541657497122246,4.894085533438072,39.2000852367748,7.487923454067033
Low,1.1992653604077717,0.9948244796259936,0.06045119532602804,1.260540959186691,Clay,2.038961654598701,7.352324184308958,98.22566048492745,6.085665863701694
Low,1.4878590621899088,1.357635902010322,0.25668401754532116,1.168847825601988,Rock,2.876303064758596,8.61577404531836,39.71813217067383,6.895029405128927
High,0.8622752659203681,1.5272365602126812,0.17506712182185644,0.5523723265134246,Sand,0.8084266391007097,5.438933609212939,8.918265796878725,0.28172167135350373
Moderate,1.4478756903544885,1.5323493571488347,0.18803763725064884,0.16631091529679082,Clay,1.3238746551587974,7.493727763066099,9.892749504636319,3.1865987033697176
Very High,0.2058470568634511,1.1979931141187679,0.31104398145369794,0.874463529383185,Rock,2.8645848089028974,4.854143595183793,59.48461841395341,6.414439574668161
Low,0.6119530475659198,1.8182835724883288,0.359640338517839,1.6146556039741966,Clay,1.1763891270857565,7.216898147269259,60.3369916220883,0.1925150395138176
Very High,0.4155337752094721,1.6530749098816078,0.056191195837707264,1.068145339481579,Rock,1.0491355936076037,5.237692744289412,42.457140057782844,0.4264717424576747
Moderate,0.37416631778797804,1.5383914179273883,0.018759525172431717,1.5150647708932434,Rock,2.0544118747595697,7.811791022318301,43.752525538890936,8.533691026456793
Moderate,0.2971241284497465,0.20565049119287518,0.49717082104017174,1.785761383034088,Rock,2.696056411248626,5.855540826572587,6.33932570124625,6.871846130751511
Moderate,0.9713790981923952,0.1130681282173337,0.11713144610886037,0.3781475470350697,Sand,1.8496415989266377,6.585259539620909,52.138104528536964,2.7271603578914054
Low,1.193850598046227,0.5036498266713986,0.02786143192932108,1.27602198654137,Sand,2.9880413647059543,7.197437439124298,50.969208062654815,6.910832117175219
Moderate,0.9096177591885048,1.3606948284355593,0.09574778921886407,1.246299075290042,Clay,2.2941777389835845,5.270730347998078,15.80538253713751,7.945321024478706
Low,0.30574779342349356,0.881275228876837,0.020439965327883648,1.7659242605090735,Rock,0.9629647958629851,7.837370183779294,11.28009922498183,3.1372634027900026
Moderate,1.2355732779068593,0.8645718926686923,0.19651363641396866,1.7755212477197606,Rock,2.984230689700346,5.861881532865666,13.233676569349559,0.45677003724195575
Very High,0.9903365900292198,1.780715087636266,0.4013984904412108,1.2673536399310201,Sand,1.697367320916419,7.480673369607391,11.001796402634593,9.334513334408571
Very High,0.6434319885777937,1.8015694114504937,0.1712809804291026,0.5141451463697303,Rock,1.4322855744600616,5.212273728147181,61.36111135813922,3.517280399126742
High,1.043782413750488,1.827433001701813,0.2226475200323049,1.4575449248220185,Sand,2.0273342038713484,7.596529466428576,20.451782587888943,1.1541694565185932
Very High,0.463866970939966,0.6963683453785519,0.33811780001015196,0.2819495281587648,Rock,1.4694767020059016,5.076846327647078,25.891585066558882,4.969383026792159
High,0.5832690918918947,1.4130060442045973,0.2549381409648702,1.4271888170917688,Clay,0.9902065156643352,6.4141042332149265,18.183642270992532,7.707831177074925
Very High,1.3844801803847864,0.6161030444213023,0.4308613973246408,1.6473334110459839,Rock,0.8031423547741888,5.612427331824946,95.8256951404018,2.2943084147138357
Low,0.5067063079399885,0.46215868284145456,0.4331518018478325,0.7508167711063399,Rock,1.789083376424577,7.867688622426821,85.6071288520317,2.7679514963202974
Very High,0.7579835754211112,0.4508016689600015,0.005945437050085668,1.172080001471237,Soft Soil,2.6410995288985033,5.679157520280936,23.818988897800565,2.5028783693059733
High,1.3461975923544205,0.7500044796408286,0.3892451069351164,0.8312426445646046,Sand,2.0590934083861683,8.467727878779282,33.42906309829047,9.917563223033614
High,1.0908098903745385,0.9169194775816613,0.23090606652059525,0.8442005934798184,Rock,2.9982560576755697,8.513190951329758,21.779391388194718,2.054296963932371
Moderate,0.18708451663058384,1.67880342500463,0.49443143011052787,0.627630511483804,Rock,1.4310626204238401,5.383985918502536,49.69571998662155,5.797650147964627
Low,0.30622426199055847,0.327793077598153,0.24213280586184213,1.395620354765552,Soft Soil,1.4170011424721218,7.262306752534759,2.9414427149511058,9.260119952403947
Very High,0.11097822708068356,1.496359110050299,0.49346107674876044,1.691500159083059,Soft Soil,1.1514488125146773,4.894729387739839,67.46543288078277,1.5542760318900146
Moderate,0.9832905063208287,1.1097643369596801,0.3775301112416626,1.699276460698584,Sand,1.1609398941837374,6.261916948207332,52.79265683194652,9.711456558890232
Very High,0.7267427955745855,0.6470961510843857,0.12505383742203985,0.3971281842873875,Soft Soil,1.4274105112221052,7.709947782755725,89.96525390180922,9.480024620516684
Very High,0.28798479126318577,1.0363572106123666,0.26965909466419186,1.5870642044161622,Clay,2.54424809960176,7.467404610824623,17.274875748513,8.8572626718768
Moderate,1.4411077694794787,0.669889932576343,0.4960756840998128,1.3536334504261076,Soft Soil,2.7926649394001855,7.311153012329736,80.60681536005204,2.2241095611670225
Moderate,0.8415236135238677,1.2325557149527815,0.42890777326820995,0.5298235811734917,Clay,2.945191773356899,5.771433886480996,79.40414043220485,6.377145054508735
Moderate,0.4386506117580449,0.9243034534249639,0.04958608000181933,0.21438384196657473,Sand,1.311037239012196,6.201112272454809,13.590937732471806,7.632825582316277
Moderate,0.8008449996165905,0.4123705052498696,0.35347962640818803,0.5555953537034426,Sand,2.7388546003510017,4.963257651151288,40.45736319026863,9.861676489144655
Moderate,1.0514684658291509,0.3215078416558238,0.17344421334953572,1.6507540025285936,Sand,1.5221611964101416,7.735602691951204,17.84511147330717,1.8861958386055673
Very High,0.20673490516299026,1.1387217959370473,0.0044841486782937106,1.176403747322813,Sand,1.0482491979371458,6.767499585560731,26.217329545297343,7.6836564052410345
Moderate,0.48458534106704876,1.8145847632435965,0.2023370035444728,1.3257929235263821,Sand,2.7140548361443644,7.689445345555446,27.06137130822389,3.4541315822784187
Low,1.229751687237591,0.7535196044596025,0.11814245644076067,0.537158996885463,Clay,2.199432396215961,5.620245861585928,56.0674030085515,1.8387020091232231
High,0.7435308185637257,1.4927002037229842,0.4096157659897153,1.3229598644771945,Clay,1.162407971378336,5.959972028857798,41.72968224428608,4.271631718017164
Moderate,0.8652079988452128,1.3514565743855573,0.16932797381403697,0.1478065606724704,Sand,1.7456287665286059,6.003969017670515,94.82554759662423,7.958975530271302
Moderate,0.7059424030932568,1.8699543371880138,0.4139343232829547,0.7380462878141234,Soft Soil,1.431966928729549,4.615840843862473,13.510644052753507,4.702013056670116
Very High,0.16145991970020718,1.6598639328683678,0.001298371478562859,1.1654806925219632,Rock,2.4209480511624335,6.034715427737806,97.39552135016967,5.42147869201018
Moderate,0.3320496917482183,1.1765499919203797,0.15460175586303346,0.3483641614202444,Sand,1.7975157073733898,8.114870580831152,23.83322538121213,9.9520781609812
Moderate,0.7237582942386472,1.348357946644804,0.1213414419395732,1.499106076559789,Soft Soil,2.9764158792340467,8.537843230873824,77.51451970180345,4.051182065618518
Moderate,0.3928596515710989,1.8069342865096663,0.11755011317323688,0.4995532079802617,Rock,0.9204389609711093,6.8319824203616735,34.55802269110932,6.192467471621474
Very High,0.16997064012355023,0.859085690715176,0.03502512326296588,1.2088778917913587,Sand,1.5810335854997428,6.549757628486491,15.165058146314077,3.7159175959921815
Moderate,1.2811095296725532,0.7209099411297769,0.09437501093484037,0.7888351423780604,Sand,1.8601803676419504,4.638710784147166,85.93102933937776,3.9885778986541793
High,1.4736695408297622,0.12054105890687306,0.2782192353729243,1.1132741123120002,Clay,1.9068938204463037,8.456419519134222,31.577229024409856,6.98684345910954
Very High,1.2104000235954353,1.6704470409637822,0.1463891753460345,0.2826659394691438,Rock,1.495058809248401,4.558545960416427,66.22668501845737,9.385081063339346
High,1.295298890386534,1.6218633307663932,0.20927999638224482,0.12875175986673246,Rock,2.40432854801465,8.751375360945953,57.07792482357603,5.4693536098739814
Very High,0.4387679824438635,0.29846358439028764,0.18905657329324707,1.646259526546512,Soft Soil,2.7244435616757445,6.701473119096407,47.70387462969656,7.707159296592921
Moderate,1.4448777657184797,1.1960290241521305,0.4380765575749474,0.5583710149042107,Clay,2.8651824643512986,6.0387052210862695,50.08612779220537,0.9831449322879419
High,0.3756959862347997,0.981565226517086,0.4527442005062472,1.4934509047267805,Clay,2.571205428958958,8.65898295679197,73.49155349513647,2.190464570576077
Very High,1.4320017345065652,0.32554728146731177,0.24698552885627417,1.7988955108027405,Clay,2.6712764340745188,4.609759468995435,9.689518498220616,5.071103245103371
Low,1.4927470115523314,1.9630796314153747,0.1657478192074866,0.45943313859814894,Clay,2.01119966136399,7.116412026910892,67.14988553383262,0.29811606392487044
Moderate,1.0964119280444682,0.5079221861803753,0.05429355129717946,0.5507902600117045,Rock,2.6169540981389923,6.970196360247019,89.6853980384593,2.6032642897493323
Very High,1.4736012245085506,0.22774494217206617,0.4767480368116654,1.2268616389789317,Rock,1.467708600125495,5.486941805451219,6.721031504966551,5.222272769267165
Low,0.8973556913939451,1.2302100210536282,0.03105324550524843,1.7412626788210561,Sand,1.6766532766402718,6.429993441075948,14.924680584133007,0.24811586273737707
Very High,0.4633584964465265,1.503846686552762,0.14952748850657194,1.6568843919242646,Sand,1.4972086304007974,7.435188026746966,71.94656173350111,2.719008233637813
Low,0.7117942399318692,0.16164254748965523,0.14973503438383207,0.9548883841114942,Clay,1.8282521379854362,7.772090385968674,44.290883176217136,5.188905112811108
Moderate,0.9309853095303002,1.3515635135813422,0.16088024178396723,1.451687480295432,Clay,1.4282751557250002,4.503225864179609,40.95131346055515,5.774177555014332
High,0.202314186837821,1.1113545643077636,0.08297913479293223,0.3307679502698318,Clay,2.915545172959783,8.715840435409568,14.559696819879349,9.264941761247524
Low,0.9712805704641445,0.29620351686259194,0.39179755403092487,1.761644913146821,Sand,1.48825818161247,5.240364175767656,51.17023403106102,6.488921670181018
Very High,1.4736489714672123,0.4277953661980879,0.06212643312102862,1.739400497861177,Soft Soil,1.0156979838440676,5.551111954000616,13.527985808441347,4.205884445046938
Moderate,0.36615070969721863,1.179151164900553,0.31781842291742823,0.37833922839459067,Soft Soil,1.9589977653109096,5.685630505622317,48.1854251747435,9.310476653617371
Low,1.2096331628037367,0.6630794656752479,0.06279916732620291,0.6090193121652813,Sand,0.925617972579388,4.6701906144841585,76.59791459720401,7.870341535539163
Very High,1.3710583112914672,1.8827998844375005,0.036197283158885325,0.27026349576150377,Sand,1.0431949658788773,5.053734556156462,26.56817143082919,2.0800883190162014
Very High,1.4211822299483092,1.6556064360196965,0.45480532233925236,0.5619199181269054,Sand,1.2826566562317419,8.938574653248729,48.597830649793,1.3953393773533158
Very High,1.4441898461676261,1.9687776923759597,0.09587425439303414,1.4871248420058514,Sand,1.8215705497407118,5.918475318197787,99.20958097028674,6.7905351938530565
Low,0.8300434942100606,0.5933745940057865,0.41080382712529245,0.7431365321809411,Sand,1.7531520510798615,5.018854906525722,68.97839191204969,5.642843339212139
Low,1.4682310711881053,1.9424749023161563,0.2727708046824608,0.25027484414948925,Sand,2.5593220964061407,4.981460675285805,84.29432035921467,7.917768776548281
Low,1.1602342899882143,0.9193443526039599,0.039850403284776036,0.6817833921241377,Clay,2.4268442385450495,7.737569854514874,42.06991304949403,7.4141699957789955
High,0.3263400107317467,0.7602857110961337,0.4777686475275957,1.7683516682101763,Clay,1.737900246779543,8.345558988146884,77.01823138945967,6.289594185189399
Low,0.7676601490551579,0.19566410124177117,0.12423362232895437,1.170462111940645,Clay,1.534149256666386,5.656285347788114,5.010408121190862,9.865183499126033
Low,1.1056636455208055,0.20025398993324497,0.42996302733095065,0.8074736088904682,Clay,1.496231324935297,4.5940928055085575,13.168207071682254,5.382538328093045
Low,0.4462764421467167,1.4148213862986438,0.08523619288649753,0.38311547294535897,Sand,2.50278919204682,5.503905083004101,21.103988699086152,1.2197469893670265
High,0.9968612569684422,0.970065089424653,0.4271174981887846,1.7765005553822812,Soft Soil,0.9145592936867935,4.754320608585408,40.79324053690674,8.299908291678285
Low,1.0332406706652668,0.5303910894686008,0.007601177639741699,1.495443315747319,Rock,0.8282076289233329,4.9652772148351865,84.72874295425055,2.5933482872225193
Very High,0.3277796413319922,1.266543582017942,0.2563784478281709,0.5785114141665629,Sand,2.550197662238626,6.441786539314391,35.280339028005116,7.795291266624791
Low,0.8911194374338587,0.5804304246752112,0.38495184713135683,0.21911678272602209,Rock,1.8497220271759085,5.534632668877347,65.80749815803082,9.575360250400509
Very High,1.1802776753700508,1.197500333254403,0.4674629632288989,0.19626344754184866,Soft Soil,1.0879385048178671,6.821756453364405,71.22211518554485,6.998275588246979
Very High,0.7984539303503186,0.7824966192671116,0.45469186596703703,0.3046428541594075,Clay,1.3182450561079029,5.640721889657357,59.0320530547458,6.000698593403031
Very High,0.1169443634865504,1.6647492305624563,0.40999280990427484,1.0873065921445169,Soft Soil,2.851508696814242,8.732417854963265,36.366954848843484,4.657823139182901
High,0.11265385671100905,1.6593227054568807,0.44420748348099076,1.678897816049337,Sand,2.6909065463747757,8.576747855668192,58.128280829640886,3.7076576733544924
High,0.5998410815580171,1.0069657564325625,0.10041062323270117,0.9444638276101736,Clay,2.36152711049274,7.050627472547097,34.884293686184876,3.594747034621179
High,1.3966716958044947,0.7665563077365296,0.14280796356015266,1.5330073201755352,Sand,1.8608955067421185,6.094907963943237,9.303500116649197,6.400089786524947
Low,0.42014749144505226,0.7888636134622796,0.1451952939356082,0.8580072537616733,Clay,1.9447119776210486,6.21516096915631,99.28759384041543,7.537603857683684
Very High,0.9881091644203619,1.630857598769614,0.1891499115698477,1.304592027805303,Rock,2.945537977624709,6.353335274150236,13.59106290961858,6.817318987895702
High,0.41090621897064883,0.7235410173154627,0.19726701452220916,1.3441836533870515,Rock,2.9246949765454318,7.774106949607248,8.162489999769678,2.064260001816271
High,0.5503379855233681,0.49721281004300744,0.27273310700268305,0.39573830003567567,Rock,1.2735919007288354,6.532375479834771,87.97454417150844,4.990473083420563
Low,1.2872589254420777,0.260907849563083,0.08078000191985425,0.71406730025888,Soft Soil,2.5844300458717,8.355284759276538,30.881631428396616,7.9372367146123235
High,1.1204060191779257,0.9867169296803759,0.34593208522920865,1.1834136661146406,Sand,1.233933865567437,8.74842653668664,65.37940043327725,4.8094703740716565
Low,0.23355898823849489,1.0160509879476995,0.08461570311294873,0.2201842339134225,Soft Soil,1.2697824513446931,6.011757690205203,33.57156723656105,5.4125704693813885
Moderate,0.700182829381007,1.6977265497655236,0.1558439325701692,0.7146183191970262,Rock,2.287404675162069,7.02312516619056,39.75397280865264,7.734246876891139
High,0.14083766910337026,0.5203535232475215,0.25216922017247084,1.0091590926780272,Sand,1.6910024168926066,4.92775441574654,26.949184229662855,6.646526532024406
Moderate,0.7732462052442125,0.8238834199699597,0.39842384020021515,1.7935816381758858,Rock,2.8493976956343445,5.402110714948615,34.96135657350801,4.152514716735687
Low,1.0274076163814954,1.6359709038980128,0.3699951473861249,0.9067070564581492,Soft Soil,0.9958214167712195,6.36059595019572,41.659339658067765,8.964585840822767
Very High,0.26590367303741214,1.6648848604230497,0.3231216438488506,1.4872964870943501,Soft Soil,1.9253564097808848,5.427912221558005,72.32119084014195,1.7094139797684382
High,0.504438914472832,0.8307610443596595,0.07873085702950491,0.8345143846132501,Soft Soil,2.8207473669748673,8.444522208549229,51.642083229244385,9.955612841044214
Low,0.6569712757030196,0.9723356442446937,0.2739756274621733,1.4538642284535053,Rock,2.7890500530549116,5.212288152265941,94.41295649854072,1.2766405269147485
Very High,1.3873434345184696,0.6762431926136375,0.04463580439814284,1.1122051627541842,Sand,1.1443642695146308,6.550473696988914,5.146158990038775,0.24800471393196513
Very High,1.4905570215921495,1.8718542689966928,0.18930422522152873,1.6072122505540771,Sand,1.6066029402122042,7.225646582069441,50.80376394057079,8.91118712137277
Moderate,0.1628758185938622,0.3254231549090026,0.20734474861468963,0.7986023389951868,Rock,2.162067080102732,7.6133875867238,58.838254094340094,2.5250397328229655
Low,1.1654110928935488,1.874123903702793,0.02086590828343116,1.1273175136965141,Sand,1.1506687464970848,6.2238121637692805,92.09950162135311,7.324026311722537
Very High,0.6204136929632805,1.399346258487152,0.13772006163551595,1.1710317570520066,Rock,2.929648778500625,8.410945809261278,5.866693838521331,8.129052211827487
High,0.649441460721272,1.1099870901047892,0.4778690841659782,0.8095510010608046,Sand,2.812448523200853,7.057436179850665,57.776458908586385,8.603965271217957
High,1.1559709626858319,0.16205221549054216,0.47686267130701504,0.34533047426871855,Clay,1.1672903938758323,6.4777850120139835,85.50936292426775,9.91678293307525
Moderate,1.3857970050035722,1.0036327644618157,0.17681120007201712,0.25905099175097046,Clay,1.066542014774168,4.802582853234165,24.95084508380442,3.010993129395991
Very High,1.4313000323035678,0.8747213995051912,0.022506954365213706,0.1283416360193763,Soft Soil,0.9878986621781837,6.591102608003243,87.7529425038698,7.1314090850798655
Low,0.907971620453649,0.40631574275273286,0.0903683747247626,1.585008249216865,Clay,2.8007760608805885,8.193311283670786,2.8852975181548906,1.2424585969801996
High,0.5999696230207039,1.347178246651248,0.19671667892333652,0.5020073508057807,Clay,1.2259723815500139,7.265434581995919,73.51300828423925,4.1274119844328085
Very High,1.202568720202291,1.9451867239997431,0.4739420692866457,0.4595614737790057,Clay,1.7158268427975805,8.244731041781034,93.37820889569664,8.494919763794645
Very High,0.4514019365672204,1.1681587410225978,0.07145833270505528,1.3512601807243114,Rock,1.7874730044344067,6.723052517696875,66.06256850236616,3.739814655985173
Moderate,0.8897036403669248,1.458031225243497,0.3819944059904379,0.644027392248566,Clay,2.1178242972698484,5.0330776729251685,44.463895154064346,5.951844267302579
High,0.6020098461348223,0.2300558598754319,0.05523258714797135,0.9602759771001221,Clay,0.957817756244335,4.561379306261465,5.443220630799084,5.087357092873877
High,1.0192835031910266,0.8935672920522899,0.49064753111824716,0.37626881100567566,Soft Soil,1.2988689582811352,5.86448796023366,92.09126751894024,6.494920158009246
Low,0.43655847805090964,0.3210811218125421,0.19142663305545835,1.7315677264853477,Clay,2.849278851221637,7.640957121740066,47.559326046465905,9.73165445493818
High,0.3682301240287561,1.2643120875193699,0.38784203491062896,1.5476883800293035,Clay,2.798502235990853,8.056169567737623,3.8706776892588532,0.651781712363881
